Task ID,Created At,Completed At,Last Modified,Name,Section/Column,Assignee,Assignee Email,Start Date,Due Date,Tags,Notes,Projects,Parent task,Blocked By (Dependencies),Blocking (Dependencies)
"1211447932621799",2025-09-23,,2025-09-24,Vacancy Workflow,Untitled section,,,,,,,Apollo Apartments,,,
"1208704778510662",2025-09-24,,2025-09-24,Marketing and Advertising,,,,,,,,,Vacancy Workflow,,
"1208704778510660",2025-09-24,,2025-09-27,Create and Publish Listing - Leasing Agent,,,,,,,"Due Date: Same day as the unit is vacant.

Description: Craft a compelling listing description, including the unit's key features, amenities, and rental price. Upload high-quality, professional photos and, if available, a virtual tour.",,Marketing and Advertising,,
"1208704778510661",2025-09-24,,2025-09-24,"Publish the listing to all marketing channels (e.g., Zillow, Apartments.com, social media).",,,,,,,"Note: Iowa Code § 562A.29 requires landlords to make ""reasonable efforts"" to re-rent a unit at a fair rental value if a previous tenant broke the lease. Effective marketing is a key component of this legal duty.",,Create and Publish Listing - Leasing Agent,,
"1208704778510659",2025-09-24,,2025-09-24,Update Vacancy in AppFolio ​- Leasing Agent,,,,,,,"Due Date: Same day as turnover completion.

Description: Log in to AppFolio and change the unit status from ""Turnover"" to ""Vacant.""

Rule: When the turnover task is marked complete, automatically create a new vacancy task and trigger an automated push to integrated listing sites.",,Marketing and Advertising,,
"1208704778510663",2025-09-24,,2025-09-24,Screening and Application,,,,,,,"Due Date: Daily.

Description: Respond to all inquiries from prospective tenants promptly. Use a scheduling tool to organize showings.",,Vacancy Workflow,,
"1208704778510664",2025-09-24,,2025-09-24,Manage Inquiries and Schedule Showings - Leasing Agent,,,,,,,"Compliance Reminder

    Treat everyone equally. All applicants and prospects must be treated the same regardless of race, color, religion, sex, disability, familial status, or national origin, as protected by the Fair Housing Act and the Iowa Civil Rights Act.
    Do not ""steer"" prospects. Avoid making comments that could be interpreted as steering tenants toward or away from certain neighborhoods or units based on a protected class.
",,Screening and Application,,
"1211455196964333",2025-09-24,,2025-09-24,Intake and Initial Response,,,,,,,"When a new lead comes in from an online listing or a call, act fast. The speed of your response is critical.
    Respond to every inquiry. Under fair housing laws, you must respond to everyone equally and consistently to avoid the appearance of bias. Even if you're screening, don't ghost a prospect.
    Use a standardized email or text template for your first response. This ensures consistency and efficiency. The template should acknowledge their inquiry and provide a link to your pre-screening criteria (e.g., minimum income, credit score, no prior evictions).
    Offer specific showing times. Avoid a long back-and-forth about scheduling. Provide a few blocks of time for showings, such as ""Tuesday from 4-5 PM and Saturday from 10-11 AM."" This helps manage your time and volume.
",,Manage Inquiries and Schedule Showings - Leasing Agent,,
"1211455196964334",2025-09-24,,2025-09-24,Pre-Screening and Information Gathering,,,,,,,"Before you meet in person, you can filter out those who are unlikely to qualify.
    Request a pre-screening form or ask qualifying questions. Ask about their desired move-in date, household size, pets, and why they're moving. This helps you determine if the unit is a good fit and if they're a serious prospect.
    Watch for red flags. Be aware of common red flags that may signal a problematic tenant, such as a large number of occupants showing up to the showing, a sense of extreme urgency to move in (which may indicate a prior eviction), or an unwillingness to provide basic information.
    Refer them to your application. If they meet the initial criteria and are still interested, direct them to your online application. Make it clear that they need to submit an application to be considered for the unit.
",,Manage Inquiries and Schedule Showings - Leasing Agent,,
"1211455196964335",2025-09-24,,2025-09-24,Scheduling and Confirmation,,,,,,,"Once a prospect is qualified and has expressed a serious interest, you can schedule a formal showing.
    Use an online scheduling tool. This automates the process and sends reminders, reducing the likelihood of no-shows.
    Send a confirmation message. Always confirm the appointment via email or text. This reinforces the appointment and provides a record of communication. The message should include the date, time, and exact meeting location.
    Confirm all appointments. Even with a scheduling tool, a personal confirmation can make a good impression and reinforce professionalism.
",,Manage Inquiries and Schedule Showings - Leasing Agent,,
"1208704778510665",2025-09-24,,2025-09-24,"For each showing, confirm the appointment via email or text message.",,,,,,,,,Screening and Application,,
"1208704778510666",2025-09-24,,2025-09-24,Process Rental Applications - Leasing Agent,,,,,,,"Due Date: Within 48 hours of receiving a completed application.

Description: Review each application to ensure it is complete and meets all screening criteria.

Ensure all screening is done consistently and in compliance with Fair Housing laws to avoid discrimination.",,Screening and Application,,
"1211455196964291",2025-09-24,,2025-09-24,Receive the application,,,,,,,The tenant submits a completed application with their claimed income and assets.,,Process Rental Applications - Leasing Agent,,
"1211455196964292",2025-09-24,,2025-09-24,Initial Review,,,,,,,The property manager reviews the application for completeness - requests applicant to complete any uncompleted sections.,,Process Rental Applications - Leasing Agent,,
"1211455196964293",2025-09-24,,2025-09-24,Request Documentation,,,,,,,"The compliance coordinator sends the applicant a list of required documentation, including the signed ""Authorization to Release Information"" form.",,Process Rental Applications - Leasing Agent,,
"1211455196964323",2025-09-24,,2025-09-24,Social Security / SSI - need an award letter from the Social Security Administration showing the monthly benefit amount,,,,,,,,,Request Documentation,,
"1211455196964324",2025-09-24,,2025-09-24,"Child Support - need a copy of the divorce decree or child support order, along with documentation of payments (e.g. canceled checks or a printout from a state's child support collection agency)",,,,,,,,,Request Documentation,,
"1211455196964325",2025-09-24,,2025-09-24,Unemployment - obtain a printout from the Iowa Workforce Development website showing weekly benefit amounts,,,,,,,,,Request Documentation,,
